item_id,store_id,dept_id,demand_band,on_hand,on_order,backorders,lead_time_days,service_level,holding_cost_per_unit_per_day,stockout_cost_per_unit,fixed_order_cost,inventory_source,synthetic_profile_plan
FOODS_1_017,CA_1,FOODS_1,low,45,13,0,10,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_1_020,CA_1,FOODS_1,medium,52,10,0,7,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_1_042,CA_1,FOODS_1,high,14,1,1,7,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_1_082,CA_1,FOODS_1,high,123,1,0,5,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_086,CA_1,FOODS_1,high,57,16,0,5,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_089,CA_1,FOODS_1,low,5,1,0,14,0.9,0.02,5.0,25.0,synthetic_demo,critical
FOODS_1_099,CA_1,FOODS_1,high,56,12,0,7,0.975,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_112,CA_1,FOODS_1,medium,50,16,0,7,0.975,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_1_135,CA_1,FOODS_1,low,0,0,2,7,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_1_155,CA_1,FOODS_1,medium,17,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_156,CA_1,FOODS_1,low,41,5,0,14,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_172,CA_1,FOODS_1,high,50,6,0,7,0.9,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_1_175,CA_1,FOODS_1,medium,31,10,0,14,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_210,CA_1,FOODS_1,medium,5,2,0,3,0.99,0.02,5.0,25.0,synthetic_demo,critical
FOODS_1_214,CA_1,FOODS_1,low,41,5,0,7,0.99,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_021,CA_1,FOODS_2,high,113,12,0,7,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_024,CA_1,FOODS_2,medium,8,2,0,5,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_028,CA_1,FOODS_2,low,0,0,0,5,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_2_040,CA_1,FOODS_2,low,6,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_059,CA_1,FOODS_2,high,35,8,0,14,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_072,CA_1,FOODS_2,medium,13,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_095,CA_1,FOODS_2,low,42,5,0,14,0.9,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_116,CA_1,FOODS_2,high,21,3,0,10,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_136,CA_1,FOODS_2,medium,17,5,0,7,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_139,CA_1,FOODS_2,high,74,8,0,10,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_146,CA_1,FOODS_2,medium,32,1,0,3,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_150,CA_1,FOODS_2,high,0,0,1,5,0.975,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_2_170,CA_1,FOODS_2,medium,9,1,0,10,0.99,0.02,5.0,25.0,synthetic_demo,critical
FOODS_2_178,CA_1,FOODS_2,low,12,4,0,10,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_180,CA_1,FOODS_2,low,4,0,0,5,0.975,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_184,CA_1,FOODS_2,high,15,2,0,7,0.99,0.02,5.0,25.0,synthetic_demo,low
FOODS_2_209,CA_1,FOODS_2,low,6,1,2,7,0.9,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_218,CA_1,FOODS_2,low,3,1,0,10,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_2_251,CA_1,FOODS_2,medium,23,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_301,CA_1,FOODS_2,low,16,4,0,7,0.9,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_302,CA_1,FOODS_2,medium,43,13,0,7,0.975,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_304,CA_1,FOODS_2,medium,35,3,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_322,CA_1,FOODS_2,high,5,0,2,7,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_2_336,CA_1,FOODS_2,low,19,1,0,10,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_339,CA_1,FOODS_2,medium,0,0,3,7,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_2_357,CA_1,FOODS_2,high,0,0,1,5,0.99,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_2_360,CA_1,FOODS_2,high,60,13,0,5,0.9,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_367,CA_1,FOODS_2,medium,5,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_026,CA_1,FOODS_3,high,10,1,0,10,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_048,CA_1,FOODS_3,medium,25,7,0,5,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_053,CA_1,FOODS_3,medium,0,0,0,3,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_3_068,CA_1,FOODS_3,low,17,5,0,7,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_074,CA_1,FOODS_3,medium,13,2,0,5,0.9,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_089,CA_1,FOODS_3,high,32,9,0,10,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_096,CA_1,FOODS_3,medium,15,1,0,7,0.975,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_099,CA_1,FOODS_3,high,51,3,0,5,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_113,CA_1,FOODS_3,high,49,14,0,14,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_123,CA_1,FOODS_3,low,24,3,0,5,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_135,CA_1,FOODS_3,high,29,3,0,7,0.975,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_179,CA_1,FOODS_3,low,3,1,0,5,0.9,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_187,CA_1,FOODS_3,medium,4,0,0,5,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_223,CA_1,FOODS_3,low,5,0,0,3,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_240,CA_1,FOODS_3,low,1,0,0,3,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_249,CA_1,FOODS_3,medium,48,6,0,5,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_263,CA_1,FOODS_3,high,97,5,0,3,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_276,CA_1,FOODS_3,high,0,0,0,7,0.975,0.02,5.0,25.0,synthetic_demo,critical
