item_id,store_id,dept_id,demand_band,forecast_origin,target_date,horizon_day,forecast
FOODS_1_017,CA_1,FOODS_1,low,2016-05-22,2016-05-23,1,1.3571428571428572
FOODS_1_020,CA_1,FOODS_1,medium,2016-05-22,2016-05-23,1,1.6428571428571428
FOODS_1_042,CA_1,FOODS_1,high,2016-05-22,2016-05-23,1,3.0714285714285716
FOODS_1_082,CA_1,FOODS_1,high,2016-05-22,2016-05-23,1,7.892857142857143
FOODS_1_086,CA_1,FOODS_1,high,2016-05-22,2016-05-23,1,4.321428571428571
FOODS_1_089,CA_1,FOODS_1,low,2016-05-22,2016-05-23,1,0.7142857142857143
FOODS_1_099,CA_1,FOODS_1,high,2016-05-22,2016-05-23,1,7.428571428571429
FOODS_1_112,CA_1,FOODS_1,medium,2016-05-22,2016-05-23,1,1.5357142857142858
FOODS_1_135,CA_1,FOODS_1,low,2016-05-22,2016-05-23,1,1.3928571428571428
FOODS_1_155,CA_1,FOODS_1,medium,2016-05-22,2016-05-23,1,0.5714285714285714
FOODS_1_156,CA_1,FOODS_1,low,2016-05-22,2016-05-23,1,1.5714285714285714
FOODS_1_172,CA_1,FOODS_1,high,2016-05-22,2016-05-23,1,1.9285714285714286
FOODS_1_175,CA_1,FOODS_1,medium,2016-05-22,2016-05-23,1,1.3928571428571428
FOODS_1_210,CA_1,FOODS_1,medium,2016-05-22,2016-05-23,1,2.8214285714285716
FOODS_1_214,CA_1,FOODS_1,low,2016-05-22,2016-05-23,1,0.9285714285714286
FOODS_2_021,CA_1,FOODS_2,high,2016-05-22,2016-05-23,1,6.428571428571429
FOODS_2_024,CA_1,FOODS_2,medium,2016-05-22,2016-05-23,1,1.4285714285714286
FOODS_2_028,CA_1,FOODS_2,low,2016-05-22,2016-05-23,1,0.35714285714285715
FOODS_2_040,CA_1,FOODS_2,low,2016-05-22,2016-05-23,1,0.8214285714285714
FOODS_2_059,CA_1,FOODS_2,high,2016-05-22,2016-05-23,1,1.7142857142857142
FOODS_2_072,CA_1,FOODS_2,medium,2016-05-22,2016-05-23,1,0.6428571428571429
FOODS_2_095,CA_1,FOODS_2,low,2016-05-22,2016-05-23,1,0.9642857142857143
FOODS_2_116,CA_1,FOODS_2,high,2016-05-22,2016-05-23,1,1.0
FOODS_2_136,CA_1,FOODS_2,medium,2016-05-22,2016-05-23,1,0.6071428571428571
FOODS_2_139,CA_1,FOODS_2,high,2016-05-22,2016-05-23,1,1.8928571428571428
FOODS_2_146,CA_1,FOODS_2,medium,2016-05-22,2016-05-23,1,1.4642857142857142
FOODS_2_150,CA_1,FOODS_2,high,2016-05-22,2016-05-23,1,2.607142857142857
FOODS_2_170,CA_1,FOODS_2,medium,2016-05-22,2016-05-23,1,1.5714285714285714
FOODS_2_178,CA_1,FOODS_2,low,2016-05-22,2016-05-23,1,0.75
FOODS_2_180,CA_1,FOODS_2,low,2016-05-22,2016-05-23,1,0.42857142857142855
FOODS_2_184,CA_1,FOODS_2,high,2016-05-22,2016-05-23,1,1.0714285714285714
FOODS_2_209,CA_1,FOODS_2,low,2016-05-22,2016-05-23,1,0.5357142857142857
