fold,baseline_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
combined,croston_sba,day_1_daily,1,daily,demand_band,high,2.9217068651308518,4.472428431661258,0.6292581138099078,0.03518247524094501,10.449195146560669,1379.0,1389.4491951465607,297,0.6124239746468749,297,0
combined,last_value,day_1_daily,1,daily,demand_band,high,2.7003367003367003,4.058494852944928,0.5815808556925308,-0.05387205387205387,-16.0,1379.0,1363.0,297,0.6354946844783784,297,0
combined,mean_28,day_1_daily,1,daily,demand_band,high,2.454545459261647,3.95012673661562,0.5286439459033424,0.10101008365049909,29.999994844198227,1379.0,1408.9999948441982,297,0.5527256250348582,297,0
combined,seasonal_naive_7,day_1_daily,1,daily,demand_band,high,2.872053872053872,4.613331581712752,0.6185641769398115,0.25252525252525254,75.0,1379.0,1454.0,297,0.6549622755507165,297,0
combined,zero,day_1_daily,1,daily,demand_band,high,4.643097643097643,7.628362812027178,1.0,-4.643097643097643,-1379.0,1379.0,0.0,297,0.9733314851269428,297,0
combined,croston_sba,day_1_daily,1,daily,demand_band,low,0.6113934239767718,0.8181111241161877,1.0873284246772528,0.04855094843164638,14.419631684198976,167.0,181.41963168419898,297,0.5103784216464231,297,0
combined,last_value,day_1_daily,1,daily,demand_band,low,0.6262626262626263,1.1281521496355325,1.1137724550898203,-0.013468013468013467,-4.0,167.0,163.0,297,0.5152030393259419,297,0
combined,mean_28,day_1_daily,1,daily,demand_band,low,0.5631313133821745,0.7926987422493798,1.0014970064341664,0.029461278407662002,8.749999687075615,167.0,175.74999968707561,297,0.47423920657418905,297,0
combined,seasonal_naive_7,day_1_daily,1,daily,demand_band,low,0.7441077441077442,1.248568203552597,1.3233532934131738,0.1111111111111111,33.0,167.0,200.0,297,0.5994134816447155,297,0
combined,zero,day_1_daily,1,daily,demand_band,low,0.5622895622895623,1.084012995809633,1.0,-0.5622895622895623,-167.0,167.0,0.0,297,0.447790649180151,297,0
combined,croston_sba,day_1_daily,1,daily,demand_band,medium,1.0542508434820799,1.4668901208253486,0.9926177172477428,0.1734377933678284,53.071964770555496,325.0,378.0719647705555,306,0.5491786967392801,306,0
combined,last_value,day_1_daily,1,daily,demand_band,medium,1.1797385620915033,2.008966827107481,1.1107692307692307,0.15359477124183007,47.0,325.0,372.0,306,0.63567202757952,306,0
combined,mean_28,day_1_daily,1,daily,demand_band,medium,0.9163165255967114,1.3734811284029045,0.8627472517925959,0.09325396480172678,28.535713229328394,325.0,353.5357132293284,306,0.48250039669126316,306,0
combined,seasonal_naive_7,day_1_daily,1,daily,demand_band,medium,1.1699346405228759,1.8541597818775022,1.1015384615384616,0.06535947712418301,20.0,325.0,345.0,306,0.6288968784019076,306,0
combined,zero,day_1_daily,1,daily,demand_band,medium,1.0620915032679739,1.934381054849193,1.0,-1.0620915032679739,-325.0,325.0,0.0,306,0.540307817528088,306,0
combined,croston_sba,day_1_daily,1,daily,dept_id,FOODS_1,1.477437045066445,2.5913747395636144,0.6807303791261777,-0.1734786700319361,-23.41962045431137,293.0,269.58037954568863,135,0.6114792975091224,135,0
combined,last_value,day_1_daily,1,daily,dept_id,FOODS_1,1.8148148148148149,3.17046555758801,0.8361774744027304,0.22962962962962963,31.0,293.0,324.0,135,0.7313826735331811,135,0
combined,mean_28,day_1_daily,1,daily,dept_id,FOODS_1,1.440211642919867,2.628086857243167,0.6635787433248534,-0.15608465966803056,-21.071429055184126,293.0,271.9285709448159,135,0.5918748454071918,135,0
combined,seasonal_naive_7,day_1_daily,1,daily,dept_id,FOODS_1,1.8296296296296297,2.8609762643519407,0.8430034129692833,-0.15555555555555556,-21.0,293.0,272.0,135,0.7915630257103603,135,0
combined,zero,day_1_daily,1,daily,dept_id,FOODS_1,2.1703703703703705,4.311053836962047,1.0,-2.1703703703703705,-293.0,293.0,0.0,135,0.7702164759711791,135,0
combined,croston_sba,day_1_daily,1,daily,dept_id,FOODS_2,1.2930821130673091,2.3942869344643745,1.2158831809438877,0.4581876982535635,115.463299959898,268.0,383.463299959898,252,0.49468808236394585,252,0
combined,last_value,day_1_daily,1,daily,dept_id,FOODS_2,1.0912698412698412,1.844124087688692,1.0261194029850746,-0.003968253968253968,-1.0,268.0,267.0,252,0.5428199472062082,252,0
combined,mean_28,day_1_daily,1,daily,dept_id,FOODS_2,0.7953514725058561,1.1491333029809327,0.7478678025055066,0.18424036186779774,46.428571190685034,268.0,314.42857119068503,252,0.42265630004692195,252,0
combined,seasonal_naive_7,day_1_daily,1,daily,dept_id,FOODS_2,1.2142857142857142,2.7945525240230875,1.1417910447761195,0.23809523809523808,60.0,268.0,328.0,252,0.5508458499718105,252,0
combined,zero,day_1_daily,1,daily,dept_id,FOODS_2,1.0634920634920635,2.0911757154806176,1.0,-1.0634920634920635,-268.0,268.0,0.0,252,0.4654583753359877,252,0
