fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series,evaluation_split
combined,mean_28,day_1_daily,1,daily,demand_band,high,2.454545459261647,3.95012673661562,0.5286439459033424,0.101010083650499,29.999994844198227,1379.0,1408.9999948441982,297,0.5527256250348582,297,0,validation
combined,mean_28,day_1_daily,1,daily,demand_band,low,0.5631313133821745,0.7926987422493798,1.0014970064341664,0.029461278407662,8.749999687075615,167.0,175.7499996870756,297,0.474239206574189,297,0,validation
combined,mean_28,day_1_daily,1,daily,demand_band,medium,0.9163165255967114,1.3734811284029045,0.8627472517925959,0.0932539648017267,28.5357132293284,325.0,353.5357132293284,306,0.4825003966912631,306,0,validation
combined,mean_28,day_1_daily,1,daily,dept_id,FOODS_1,1.440211642919867,2.628086857243167,0.6635787433248534,-0.1560846596680305,-21.07142905518413,293.0,271.9285709448159,135,0.5918748454071918,135,0,validation
combined,mean_28,day_1_daily,1,daily,dept_id,FOODS_2,0.7953514725058561,1.1491333029809327,0.7478678025055066,0.1842403618677977,46.42857119068504,268.0,314.42857119068503,252,0.4226563000469219,252,0,validation
combined,mean_28,day_1_daily,1,daily,dept_id,FOODS_3,1.5239487630451285,2.8383782551249173,0.596782988887138,0.0817320967350903,41.92856562510133,1310.0,1351.928565625101,513,0.5189886640031547,513,0,validation
combined,mean_28,day_1_daily,1,daily,intermittency_class,highly_intermittent,0.3780323458870627,0.6714049161228316,1.3357142888009548,-0.0370619934544248,-1.9642856530845163,15.0,13.035714346915483,53,0.5381255867648683,53,0,validation
combined,mean_28,day_1_daily,1,daily,intermittency_class,intermittent,0.7234835894886413,1.2623425751599922,0.8162864582973937,0.1146005936606577,49.39285586774349,382.0,431.3928558677435,431,0.4574961556009753,431,0,validation
combined,mean_28,day_1_daily,1,daily,intermittency_class,regular,2.0307348964091103,3.356762012445373,0.5731246383352713,0.0477335037162097,19.85713754594326,1474.0,1493.8571375459433,416,0.5455581183001327,416,0,validation
combined,mean_28,day_1_daily,1,daily,overall,all,1.307380953675343,2.449063305582832,0.6288844779838635,0.0747618975117802,67.28570776060224,1871.0,1938.2857077606025,900,0.502948529306015,900,0,validation
