fold,model_name,horizon,horizon_days,evaluation_type,segment_type,segment_value,mae,rmse,wape,bias,aggregate_bias,actual_sum,forecast_sum,observations,rmsse,rmsse_defined_series,rmsse_undefined_series
combined,xgboost_base,day_1_daily,1,daily,overall,all,1.1620522828783013,2.084856152198922,0.558977581288333,-0.07111693092000981,-64.00523782800883,1871.0,1806.9947621719912,900,0.47504910445259724,900,0
combined,xgboost_base,days_1_7_aggregate,7,aggregate,overall,all,4.637565542059796,8.574301556576383,0.32190413295185993,0.18372198169921627,165.34978352929465,12966.0,13131.349783529295,900,0.6927517164193386,900,0
combined,xgboost_base,days_1_7_daily,7,daily,overall,all,1.296446050819091,2.4386156620414297,0.6299251982230659,0.026245997385602324,165.34978352929465,12966.0,13131.349783529295,6300,0.6455684785705201,900,0
combined,xgboost_base,days_1_30_aggregate,30,aggregate,overall,all,19.240841669755625,40.14603911581323,0.2889834871882259,3.692657498126177,3323.391748313559,59923.0,63246.39174831356,900,1.298494685002599,900,0
combined,xgboost_base,days_1_30_daily,30,daily,overall,all,1.499538758778936,2.7133327143553885,0.6756595378574383,0.12308858327087256,3323.391748313559,59923.0,63246.39174831356,27000,0.7513798350269086,900,0
validation_fold_1,xgboost_base,day_1_daily,1,daily,overall,all,1.3010074459326764,2.346428286731466,0.5049188017849973,-0.12692330988124012,-38.07699296437204,773.0,734.923007035628,300,0.5394149755509149,300,0
validation_fold_1,xgboost_base,days_1_7_aggregate,7,aggregate,overall,all,4.358661475013942,7.032309531918536,0.33238394573060054,1.2159063190532227,364.7718957159668,3934.0,4298.771895715967,300,0.6863037522333213,300,0
validation_fold_1,xgboost_base,days_1_7_daily,7,daily,overall,all,1.2518530485787918,2.0486869604161893,0.668248958316081,0.17370090272188896,364.7718957159668,3934.0,4298.771895715967,2100,0.6444476144633654,300,0
validation_fold_1,xgboost_base,days_1_30_aggregate,30,aggregate,overall,all,20.90779595851277,44.1354730376005,0.32338310927788366,4.915339624316742,1474.6018872950226,19396.0,20870.601887295023,300,1.3985030360670254,300,0
validation_fold_1,xgboost_base,days_1_30_daily,30,daily,overall,all,1.51079096318057,2.693210817109159,0.7010269472378393,0.1638446541438914,1474.6018872950226,19396.0,20870.601887295023,9000,0.762428977571022,300,0
validation_fold_2,xgboost_base,day_1_daily,1,daily,overall,all,1.0459718902191768,1.845149029790669,0.594302210351805,-0.009000840705508988,-2.700252211652696,528.0,525.2997477883473,300,0.44571115688975055,300,0
validation_fold_2,xgboost_base,days_1_7_aggregate,7,aggregate,overall,all,4.720170523580164,9.627245935701673,0.32992804218873467,0.20726017505551378,62.178052516654134,4292.0,4354.178052516654,300,0.7059208526152547,300,0
validation_fold_2,xgboost_base,days_1_7_daily,7,daily,overall,all,1.2649369062350264,2.618962376751892,0.6189113474122916,0.029608596436501967,62.178052516654134,4292.0,4354.178052516654,2100,0.6191467187747615,300,0
validation_fold_2,xgboost_base,days_1_30_aggregate,30,aggregate,overall,all,18.61873225497703,38.605541599865084,0.2715684401251025,1.1275979741476476,338.2793922442943,20568.0,20906.279392244294,300,1.2563159536492123,300,0
validation_fold_2,xgboost_base,days_1_30_daily,30,daily,overall,all,1.4955713086742908,2.7702964187963945,0.6544215177979685,0.03758659913825492,338.2793922442943,20568.0,20906.279392244294,9000,0.7465934908273489,300,0
validation_fold_3,xgboost_base,day_1_daily,1,daily,overall,all,1.1391775124830503,2.0321355464569955,0.5995671118331845,-0.07742664217328032,-23.227992651984096,570.0,546.7720073480159,300,0.44002118091712605,300,0
validation_fold_3,xgboost_base,days_1_7_aggregate,7,aggregate,overall,all,4.833864627585281,8.855433354168945,0.30594079921425826,-0.8720005490110877,-261.6001647033263,4740.0,4478.399835296674,300,0.6860305444094398,300,0
validation_fold_3,xgboost_base,days_1_7_daily,7,daily,overall,all,1.3725481976434544,2.60469899390314,0.6080909736395052,-0.12457150700158395,-261.6001647033263,4740.0,4478.399835296674,2100,0.6731111024734334,300,0
validation_fold_3,xgboost_base,days_1_30_aggregate,30,aggregate,overall,all,18.195996795777077,37.37359425575152,0.27350062822451643,5.035034895914141,1510.5104687742423,19959.0,21469.510468774242,300,1.2406650652915592,300,0
validation_fold_3,xgboost_base,days_1_30_daily,30,daily,overall,all,1.492254004481947,2.6755553634682325,0.6728937341719287,0.16783449653047136,1510.5104687742423,19959.0,21469.510468774242,9000,0.7451170366823548,300,0
combined,xgb_tune_02,day_1_daily,1,daily,overall,all,1.1737329908196503,2.105080258670623,0.5645963077165609,-0.05924785948617177,-53.32307353755459,1871.0,1817.6769264624454,900,0.47517965219139857,900,0
